Fecha,Hora Local,Magnitud,Profundidad en km,Localizacion,Origen,Reportado,Latitud,Longitud
2009-12-28,03:37:00,2,4,Cercano al V. Turrialba,Fallamiento Local,Heredia,10.027,-83.773
2009-12-17,15:13:00,4,30,15 kms al noroeste de San Isidro del General,tectÃ³nico por fallamiento local,Zona Sur,9.48,-83.78
2009-12-16,07:18:00,3.1,40,12 kms al noreste de Parrita,tectÃ³nico por subducciÃ³n,Heredia,9.55,-84.21
2009-12-02,06:45:00,2.9,8,15 km al norte de San Isidro de Perez Zeledon,Fallamiento local,Palmital de Perez Zeledon,9.517,-83.68
2009-11-26,15:04:00,4.5,20,44 km Sur Este de Limon,Cinturon deformado del norte de Panama,Puerto Viejo y Talamanca,9.647,-82.87
2009-11-25,02:10:00,3.2,7,15 Kms NE de Perez Zeledon,Tectonico por fallamiento local,"Palmital , Alaska y Rivas de Perez Zeledon",9.5,-83.683
2009-11-25,22:28:00,2.8,10,15 Kms NE de Perez ZeledÃ³n,TectÃ³nico por fallamiento local,"Alaska , Palmital y Perez ZeledÃ³n",9.5,-83.678
2009-11-24,18:53:00,2.4,14,15 km al NE de Perez Zeledon,Tectonico por fallamiento local,Alaska Perez Zeledon,9.501,-83.677
2009-11-24,22:14:00,4.3,34,13 Kms  NE Quepos,Tectonico por Subduccion,Valle Central,9.533,-84.133
2009-11-22,10:50:00,2.4,14,Alaska de Perez Zeledon,Tectonico por falla local,Alaska,9.536,-83.66
2009-11-22,14:26:00,2.8,6.5,3 km al norte del crater del volcan Irazu,Tectonico por fallamiento local,Alrededores del Parque Nacional Volcan Irazu,10.021,-83.854
2009-11-22,18:19:00,2.6,9,Alaska de Perez Zeledon,Tectonico por fallamiento local,Palmital y Alaska de Perez Zeledon,9.524,-83.661
2009-11-20,11:22:00,5.2,46,37 km NE de Boca Parismina,Tectonico por fallamiento en la placa Caribe,Valle Central y Zona Norte,10.512,-83.097
2009-11-19,16:02:00,4.8,73,9 km Sur Oeste del Tejar del Guarco,Subduccion,Valle Central,9.764,-84.012
2009-11-16,20:48:00,4,25,50 km al Norte de Limon,Tectonico por falla local en la placa del Caribe,"Tortuguero, Siquirres, San Jose, Heredia",10.458,-83.118
2009-11-13,15:20:00,5.1,19,20km NE de Parrita,Falla local,Zona Sur Valle Central,9.638,-84.205
2009-11-09,01:31:00,4.8,20,40 km O de Puerto Cortes,Tectonico por Subduccion,Alajuela,8.963,-83.906
2009-11-01,12:45:00,4.4,10,Fortuna de San Carlos,Fallamiento Local,Fortuna de San Carlos,10.44,-84.633
2009-10-17,21:24:00,4.2,40,13 km al Oeste de Nandayure,Tectonico por subduccion,Paquera,10.027,-85.326
2009-10-16,15:04:00,3.9,57,1km al NE de Sardinal de Puntarenas,Subduccion,Alajuela,10.127,-84.818
2009-10-07,09:29:00,2.5,8,16 km Nor Oeste de Tilaran,Fallamiento Local,Tilaran,10.599,-84.879
2009-10-02,08:11:00,4,93,8 Km Nor Este del Volcan Poas,Subduccion,San Jose,10.244,-84.205
